City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hami,42.8,93.45,32.16,22,98,3.98,CN,1689691346
84,utrik,11.2278,169.8474,27.97,80,55,6.05,MH,1689691038
85,bhimunipatnam,17.8833,83.4333,25.73,91,100,4.85,IN,1689691346
86,kaoma,-14.7833,24.8,26.48,18,1,2.06,ZM,1689691108
87,tiksi,71.6872,128.8694,5.33,72,37,4.1,RU,1689691041
88,luderitz,-26.6481,15.1594,19.77,62,0,10.01,NA,1689691347
89,la passe,45.5549,-0.8967,30.13,55,2,7.95,FR,1689691038
90,port lincoln,-34.7333,135.8667,11.22,78,6,6.81,AU,1689691083
91,laghouat,33.8,2.8651,39.99,6,24,4.38,DZ,1689691347
92,qaqortoq,60.7167,-46.0333,8.64,93,100,1.68,GL,1689691080
93,bredasdorp,-34.5322,20.0403,14.13,68,73,11.3,ZA,1689691026
94,staryy dobrotvir,50.2315,24.377,23.75,52,5,4.33,UA,1689691348
95,beyneu,45.3167,55.2,27.78,33,29,9.25,KZ,1689691348
96,kerikeri,-35.2268,173.9474,9.03,95,13,1.48,NZ,1689691101
97,kalampaka,39.7044,21.6269,36.49,31,0,5.73,GR,1689691348
98,maceio,-9.6658,-35.7353,27.69,65,75,5.14,BR,1689691231
99,margaret river,-33.95,115.0667,13.31,77,88,9.85,AU,1689691031
100,upper dir,35.2058,71.8756,25.96,84,60,1.69,PK,1689691349
101,vorgashor,67.5833,63.95,20.27,72,79,3.07,RU,1689691045
102,lata,40.1629,-8.3327,25.6,27,0,4.79,PT,1689691039
103,port alfred,-33.5906,26.891,17.88,88,15,1.79,ZA,1689691101
104,whitehorse,60.7161,-135.0538,12.43,82,75,2.57,CA,1689691079
105,sao tome,0.3365,6.7273,28.02,74,75,5.14,ST,1689691349
106,cabo san lucas,22.8909,-109.9124,31.45,67,40,3.81,MX,1689690628
107,ilulissat,69.2167,-51.1,8.01,87,75,3.09,GL,1689691039
108,cadale,2.7603,46.3222,25.55,79,24,9.74,SO,1689691350
109,georgetown,5.4112,100.3354,29.97,74,20,1.03,MY,1689691024
110,wailua homesteads,22.0669,-159.378,24.44,91,100,9.26,US,1689691029
111,barro alto,-11.7608,-41.9117,27.49,31,1,4.66,BR,1689691350
112,tokmok,42.8417,75.3016,30.05,27,84,2.74,KG,1689691351
113,coquimbo,-29.9533,-71.3436,17.85,42,0,4.63,CL,1689691053
114,malango,-2.9627,119.9001,19.4,96,83,0.73,ID,1689691067
115,khash,28.2211,61.2158,34.35,12,19,9.03,IR,1689691351
